seed,steps,max_value,steps_to_max,has_diverged,entropy,divergence_rate,values,z_score_steps,z_score_peak,iqr_outlier,is_anomaly
319,37,4616,12,False,0.0,0.0,[],0.33724537973667285,0.6744907594376883,False,False
320,10,320,0,False,0.0,0.0,[],-0.9635582278190653,-0.8633838889404298,False,True
321,18,482,1,False,0.0,0.0,[],-0.5781349366914391,-0.6277034783489945,False,False
322,64,4616,39,False,0.0,0.0,[],1.6380489872924109,0.6744907594376883,False,False
323,64,4616,39,False,0.0,0.0,[],1.6380489872924109,0.6744907594376883,False,False
324,18,324,0,False,0.0,0.0,[],-0.5781349366914391,-0.856240337897992,False,False
325,18,488,1,False,0.0,0.0,[],-0.5781349366914391,-0.6205819758645634,False,False
326,18,368,3,False,0.0,0.0,[],-0.5781349366914391,-0.7829988342006932,False,False
327,91,4616,66,False,0.0,0.0,[],2.938852594848149,0.6744907594376883,False,True
328,72,4616,47,False,0.0,0.0,[],2.023472278420037,0.6744907594376883,False,False
329,34,836,5,False,0.0,0.0,[],0.19271164556381307,-0.31055566095373804,False,False
330,72,4616,47,False,0.0,0.0,[],2.023472278420037,0.6744907594376883,False,False
331,18,746,2,False,0.0,0.0,[],-0.5781349366914391,-0.3761756964340592,False,False
332,72,4616,47,False,0.0,0.0,[],2.023472278420037,0.6744907594376883,False,False
333,72,4616,47,False,0.0,0.0,[],2.023472278420037,0.6744907594376883,False,False
334,45,4616,20,False,0.0,0.0,[],0.722668670864299,0.6744907594376883,False,False
335,45,4616,20,False,0.0,0.0,[],0.722668670864299,0.6744907594376883,False,False
336,10,336,0,False,0.0,0.0,[],-0.9635582278190653,-0.8353256224960105,False,True
337,72,4616,47,False,0.0,0.0,[],2.023472278420037,0.6744907594376883,False,False
338,34,2186,10,False,0.0,0.0,[],0.19271164556381307,0.24347180732876356,False,False
339,34,2186,10,False,0.0,0.0,[],0.19271164556381307,0.24347180732876356,False,False
340,10,340,0,False,0.0,0.0,[],-0.9635582278190653,-0.8285192382224078,False,True
341,10,512,1,False,0.0,0.0,[],-0.9635582278190653,-0.5929439053007681,False,True
342,80,4616,55,False,0.0,0.0,[],2.408895569547663,0.6744907594376883,False,False
343,80,4616,55,False,0.0,0.0,[],2.408895569547663,0.6744907594376883,False,False
344,23,344,0,False,0.0,0.0,[],-0.33724537973667285,-0.8217922305023198,False,False
345,80,4616,55,False,0.0,0.0,[],2.408895569547663,0.6744907594376883,False,False
346,23,346,0,False,0.0,0.0,[],-0.33724537973667285,-0.8184579184754837,False,False
347,80,4616,55,False,0.0,0.0,[],2.408895569547663,0.6744907594376883,False,False
348,23,348,0,False,0.0,0.0,[],-0.33724537973667285,-0.8151427692672399,False,False
349,23,524,1,False,0.0,0.0,[],-0.33724537973667285,-0.5796061001105167,False,False
350,53,4616,28,False,0.0,0.0,[],1.1080919619919252,0.6744907594376883,False,False
351,53,4616,28,False,0.0,0.0,[],1.1080919619919252,0.6744907594376883,False,False
352,15,352,0,False,0.0,0.0,[],-0.722668670864299,-0.8085690870178611,False,False
353,80,4616,55,False,0.0,0.0,[],2.408895569547663,0.6744907594376883,False,False
354,23,354,0,False,0.0,0.0,[],-0.33724537973667285,-0.8053101270807462,False,False
355,23,800,2,False,0.0,0.0,[],-0.33724537973667285,-0.33591510175411776,False,False
356,23,356,0,False,0.0,0.0,[],-0.33724537973667285,-0.8020694760039053,False,False
357,23,536,1,False,0.0,0.0,[],-0.33724537973667285,-0.5665697402023729,False,False
358,23,404,3,False,0.0,0.0,[],-0.33724537973667285,-0.7293010782380002,False,False
359,34,4616,9,False,0.0,0.0,[],0.19271164556381307,0.6744907594376883,False,False
360,15,360,0,False,0.0,0.0,[],-0.722668670864299,-0.7956422855610716,False,False
361,31,1376,6,False,0.0,0.0,[],0.04817791139095327,-0.0233853425904679,False,False
362,15,362,0,False,0.0,0.0,[],-0.722668670864299,-0.7924553472085765,False,False
363,31,818,2,False,0.0,0.0,[],0.04817791139095327,-0.3230960325471307,False,False
364,61,4616,36,False,0.0,0.0,[],1.4935152531195512,0.6744907594376883,False,False
365,61,4616,36,False,0.0,0.0,[],1.4935152531195512,0.6744907594376883,False,False
366,61,4616,36,False,0.0,0.0,[],1.4935152531195512,0.6744907594376883,False,False
367,31,2096,7,False,0.0,0.0,[],0.04817791139095327,0.21923150230670568,False,False
368,15,368,0,False,0.0,0.0,[],-0.722668670864299,-0.7829988342006932,False,False
369,15,554,1,False,0.0,0.0,[],-0.722668670864299,-0.547551499777696,False,False
370,31,370,0,False,0.0,0.0,[],0.04817791139095327,-0.7798808029626548,False,False
371,31,836,2,False,0.0,0.0,[],0.04817791139095327,-0.31055566095373804,False,False
372,15,372,0,False,0.0,0.0,[],-0.722668670864299,-0.7767795354144005,False,False
373,15,560,1,False,0.0,0.0,[],-0.722668670864299,-0.5413489198591377,False,False
374,31,476,6,False,0.0,0.0,[],0.04817791139095327,-0.634914001918445,False,False
375,31,1268,3,False,0.0,0.0,[],0.04817791139095327,-0.0705000385222637,False,False
376,69,4616,44,False,0.0,0.0,[],1.8789385442471773,0.6744907594376883,False,False
377,42,4616,17,False,0.0,0.0,[],0.5781349366914391,0.6744907594376883,False,False
378,69,4616,44,False,0.0,0.0,[],1.8789385442471773,0.6744907594376883,False,False
379,39,1376,14,False,0.0,0.0,[],0.43360120251857937,-0.0233853425904679,False,False
380,69,4616,44,False,0.0,0.0,[],1.8789385442471773,0.6744907594376883,False,False
